 --> Category: RECO_VBFLIKEGGH_Tag0
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2017_hgg = 3.91%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2018_hgg = 6.44%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 1.16%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 6.88%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2018_hgg = 6.78%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 2.25%

 --> Category: RECO_VBFTOPO_JET3_LOWMJJ_Tag0
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2016_hgg = 1.80%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 8.69%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 2.37%
    * qqH_1J_2016_hgg = 1.50%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 7.17%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 16.80%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 2.00%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 3.78%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2017_hgg = 1.04%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 2.41%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2017_hgg = 6.13%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 1.76%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2018_hgg = 1.09%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 2.46%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2018_hgg = 1.27%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 6.17%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 11.77%
    * ggH_1J_PTH_60_120_2018_hgg = 1.26%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 6.05%

 --> Category: RECO_VBFTOPO_JET3_LOWMJJ_Tag1
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2016_hgg = 1.39%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2016_hgg = 2.30%
    * qqH_GE2J_MJJ_120_350_2016_hgg = 1.06%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 6.76%
    * qqH_1J_2016_hgg = 1.05%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 3.98%
    * ggH_1J_PTH_0_60_2016_hgg = 1.00%
    * ggH_GE2J_MJJ_0_350_PTH_0_60_2016_hgg = 1.60%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 18.87%
    * ggH_1J_PTH_60_120_2016_hgg = 1.71%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 1.63%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 1.23%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2017_hgg = 6.36%
    * ggH_1J_PTH_60_120_2017_hgg = 1.30%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 1.64%
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2018_hgg = 1.04%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2018_hgg = 1.51%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 2.36%
    * WH_had_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 1.04%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 3.14%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 12.09%
    * ggH_1J_PTH_60_120_2018_hgg = 1.06%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 3.60%

 --> Category: RECO_VBFTOPO_VHHAD_Tag0
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2016_hgg = 11.82%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2016_hgg = 2.06%
    * ggH_PTH_200_300_2016_hgg = 6.76%
    * ggH_PTH_300_450_2016_hgg = 1.92%
    * qqH_GE2J_MJJ_60_120_2016_hgg = 1.36%
    * WH_had_GE2J_MJJ_60_120_2016_hgg = 9.73%
    * ZH_had_GE2J_MJJ_60_120_2016_hgg = 5.46%
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2017_hgg = 4.41%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2017_hgg = 1.01%
    * ggH_PTH_200_300_2017_hgg = 3.19%
    * WH_had_GE2J_MJJ_60_120_2017_hgg = 7.58%
    * ZH_had_GE2J_MJJ_60_120_2017_hgg = 5.61%
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2018_hgg = 7.33%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2018_hgg = 1.51%
    * ggH_PTH_200_300_2018_hgg = 5.12%
    * ggH_PTH_300_450_2018_hgg = 1.51%
    * WH_had_GE2J_MJJ_60_120_2018_hgg = 9.34%
    * ZH_had_GE2J_MJJ_60_120_2018_hgg = 5.66%

 --> Category: RECO_VBFTOPO_VHHAD_Tag1
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2016_hgg = 10.30%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2016_hgg = 11.86%
    * ggH_PTH_200_300_2016_hgg = 4.26%
    * WH_had_GE2J_MJJ_60_120_2016_hgg = 5.37%
    * ZH_had_GE2J_MJJ_60_120_2016_hgg = 3.74%
