# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain1EB_13TeVscale,Gain6EB_13TeVscale
photonCatScalesCorr=MaterialCentralBarrel_scale,MaterialOuterBarrel_scale,MaterialForward_scale,FNUFEE_scale,FNUFEB_scale,ShowerShapeHighR9EE_scale,ShowerShapeHighR9EB_scale,ShowerShapeLowR9EE_scale,ShowerShapeLowR9EB_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale:UntaggedTag_0:2,Geant4_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=GG2H
LowR9EE_13TeVscale            1.114e-05     0.0004655     1.172e-05    
Gain1EB_13TeVscale            1.039e-05     0.0001062     7.62e-06    
Gain6EB_13TeVscale            9.675e-06     0.0003159     2.967e-05    
HighR9EBPhi_13TeVsmear        1.116e-05     0.05565     0.000762    
HighR9EBRho_13TeVsmear        1.898e-06     0.02804     0.0002805    
HighR9EEPhi_13TeVsmear        2.152e-05     0.006222     4.493e-05    
HighR9EERho_13TeVsmear        1.197e-05     0.0009425     4.314e-05    
LowR9EBPhi_13TeVsmear         6.392e-06     0.02535     1.405e-05    
LowR9EBRho_13TeVsmear         1.013e-05     0.01127     0.0001815    
LowR9EEPhi_13TeVsmear         1.021e-05     0.00199     4.016e-05    
LowR9EERho_13TeVsmear         1.069e-05     0.0003335     4.994e-05    
MaterialCentralBarrel_scale   0.0002338     0.004831     3.745e-05    
MaterialOuterBarrel_scale     0.0002437     0.002974     0.0002708    
MaterialForward_scale         7.638e-05     0.0002141     4.762e-05    
FNUFEE_scale                  1.67e-05     0.0002407     8.171e-05    
FNUFEB_scale                  0.0003491     0.00715     0.0001614    
ShowerShapeHighR9EE_scale     1.131e-05     4.074e-05     2.573e-05    
ShowerShapeHighR9EB_scale     0.0004676     0.008292     0.0001235    
ShowerShapeLowR9EE_scale      1.172e-05     0.0001198     2.593e-05    
ShowerShapeLowR9EB_scale      1.033e-05     0.0003063     2.171e-05    

diphotonCat=1
proc=VBF
HighR9EB_13TeVscale           0.0007382     0.00715     0.0001734    
HighR9EE_13TeVscale           7.236e-05     0.0009472     4.719e-05    
LowR9EB_13TeVscale            0.0007508     0.007427     0.0003675    
LowR9EE_13TeVscale            1.704e-05     0.0002138     0.0001181    
Gain1EB_13TeVscale            1.836e-05     0.0002047     6.291e-05    
Gain6EB_13TeVscale            1.917e-05     0.0001994     8.216e-05    
HighR9EBPhi_13TeVsmear        2.41e-05     0.05039     0.000713    
HighR9EBRho_13TeVsmear        8.262e-06     0.02222     0.0004329    
HighR9EEPhi_13TeVsmear        1.252e-06     0.01511     7.243e-05    
HighR9EERho_13TeVsmear        1.365e-05     0.001546     0.0001374    
LowR9EBPhi_13TeVsmear         3.094e-05     0.02741     5.93e-05    
LowR9EBRho_13TeVsmear         1.973e-05     0.01083     0.0001192    
LowR9EEPhi_13TeVsmear         3.357e-06     0.002427     0.0001176    
LowR9EERho_13TeVsmear         1.202e-05     0.000645     0.0001001    
MaterialCentralBarrel_scale   0.0002154     0.002986     6.326e-05    
